front,back,method,rx,cat,detail
头痛,气虚头痛,健脾益气升清,益气聪明汤,内伤头痛,头痛隐隐，时发时止，遇劳加重，纳食减少，神疲乏力，气短懒言，舌质淡，苔薄白，脉细弱。
眩晕,肝阳上亢,平肝潜阳，清火息风,天麻钩藤饮,,眩晕，耳鸣，头目胀痛，口苦，失眠多梦，遇烦劳郁怒而加重，甚则仆倒，颜面潮红，急躁易怒，肢麻震颤，舌红苔黄，脉弦或数
眩晕,气血亏虚,补益气血，调养心脾,归脾汤,,眩晕动则加剧，劳累即发，面色白，神疲乏力，倦怠懒言，唇甲不华，发色不泽，心悸少寐，纳少腹胀，舌淡苔薄白，脉细弱
眩晕,肾精不足,滋养肝肾，益精填髓,左归丸,,眩晕日久不愈，精神萎靡，腰酸膝软，少寐多梦，健忘，两目干涩，视力减退；或遗精滑泄，耳鸣齿摇；或颧红咽干，五心烦热，舌红少苔，脉细数；或面色白，形寒肢冷，舌淡嫩，苔白，脉弱尺甚
眩晕,痰浊中阻,化痰袪湿，健脾和胃,半夏白术天麻汤,,眩晕，头重昏蒙，或伴视物旋转，胸闷恶心，呕吐痰涎，食少多寐，舌苔白腻，脉濡滑
眩晕,瘀血阻窍,祛瘀生新，活血通窍,通窍活血汤,,眩晕时作，头痛如刺，兼见健忘，失眠，心悸，精神不振，耳鸣耳聋，面唇紫暗，舌暗有瘀斑，脉涩或细涩
中风,风痰入络,祛风化痰通络,真方白丸子,中经络,肌肤不仁，手足麻木，突然发生口眼歪斜，语言不利，口角流涎，舌强语謇，甚则半身不遂，或兼见手足拘挛，关节酸痛等症，舌苔薄白，脉浮数
中风,风阳上扰,平肝潜阳，活血通络,天麻钩藤饮,中经络,平素头晕头痛，耳鸣目眩，突然发生口眼歪斜，舌强语謇，或手足重滞，甚则半身不遂等症，舌质红苔黄，脉弦
中风,阴虚风动,滋阴潜阳，息风通络,镇肝息风汤,中经络,平素头晕耳鸣，腰酸，突然发生口眼歪斜，言语不利，手指动，甚或半身不遂，舌质红，苔腻，脉弦细数
中风,痰热腑实,通腑泄热，息风化痰,桃仁承气汤,中脏腑闭证,素有头痛眩晕，心烦易怒，突然发病，半身不遂，口舌歪斜，舌强语謇或不语，神志欠清或昏糊，肢体强急，痰多而黏，伴腹胀，便秘，舌质暗红，或有瘀点瘀斑，苔黄腻，脉弦滑或弦涩
中风,痰火瘀闭,息风清火，豁痰开窍,羚角钩藤汤,中脏腑闭证,突然昏仆，不省人事，牙关紧闭，口噤不开，两手握固，大小便闭，肢体强痉，面赤身热，气粗口臭，躁扰不宁，苔黄腻，脉弦滑而数
中风,痰浊瘀闭,化痰息风，宣郁开窍,涤痰汤,中脏腑闭证,突然昏仆，不省人事，牙关紧闭，口噤不开，两手握固，肢体强痉，大小便闭，面白唇暗，静卧不烦，四肢不温，痰涎壅盛，苔白腻，脉沉滑缓
中风,阴竭阳亡,回阳救阴，益气固脱,参附汤合生脉散,中脏腑脱证,突然昏仆，不省人事，目合口张，鼻鼾息微，手撒肢冷，汗多，大小便自遗，肢体软瘫，舌痿，脉细弱或脉微欲绝
中风,风痰瘀阻,搜风化痰，行瘀通络,解语丹,恢复期,口眼歪斜，舌强语謇或失语，半身不遂，肢体麻木，苔滑腻，舌暗紫，脉弦滑
中风,气虚络瘀,益气养血，化瘀通络,补阳还五汤,恢复期,肢体偏枯不用，肢软无力，面色萎黄，舌质淡紫或有瘀斑，苔薄白，脉细涩或细弱
中风,肝肾亏虚,滋养肝肾,左归丸合地黄饮子,恢复期,半身不遂，患肢僵硬，拘挛变形，舌强不语，或偏瘫，肢体肌肉萎缩，舌红脉细，或舌淡红，脉沉细
水肿,风水相搏,疏风清热，宣肺行水,越婢加术汤,阳水,眼睑浮肿，继则四肢及全身皆肿，来势迅速，多有恶寒，发热，肢节酸楚，小便不利等症。偏于风热者，伴咽喉红肿疼痛，舌质红，脉浮滑数。偏于风寒者，兼恶寒，咳喘，舌苔薄白，脉浮滑或浮紧
水肿,湿毒浸淫,宣肺解毒，利湿消肿,麻黄连翘赤小豆汤合五味消毒饮,阳水,眼睑浮肿，延及全身，皮肤光亮，尿少色赤，身发疮痍，甚则溃烂，恶风发热，舌质红，苔薄黄，脉浮数或滑数
水肿,水湿浸渍,运脾化湿，通阳利水,五皮饮合胃苓汤,阳水,起病缓慢，病程较长，全身水肿，下肢明显，按之没指，小便短少，身体困重，胸闷，纳呆，泛恶，苔白腻，脉沉缓
水肿,湿热壅盛,分利湿热,疏凿饮子,阳水,遍体浮肿，皮肤绷急光亮，胸脘痞闷，烦热口渴，小便短赤，或大便干结，舌红，苔黄腻，脉沉数或濡数
水肿,脾阳虚衰,健脾温阳利水,实脾饮,阴水,身肿日久，腰以下为甚，按之凹陷不易恢复，脘腹胀闷，纳减便溏，面色不华，神疲乏力，四肢倦怠，小便短少，舌质淡，苔白腻或白滑，脉沉缓或沉弱
水肿,肾阳衰微,温肾助阳，化气行水,济生肾气丸合真武汤,阴水,水肿反复消长不已，面浮身肿，腰以下甚，按之凹陷不起，尿量减少或反多，腰酸冷痛，四肢厥冷，怯寒神疲，面色白，甚者心悸胸闷，喘促难卧，腹大胀满，舌质淡胖，苔白，脉沉细或沉迟无力
水肿,瘀水互结,活血祛瘀，化气行水,桃红四物汤合五苓散,阴水,水肿延久不退，肿势轻重不一，四肢或全身浮肿，以下肢为主，皮肤瘀斑，腰部刺痛，或伴血尿，舌紫暗，苔白，脉沉细涩
淋证,热淋,清热利湿通淋,八正散,,小便频数短涩，灼热刺痛，溺色黄赤，少腹拘急胀痛，或有寒热，口苦，呕恶，或有腰痛拒按，或有大便秘结，苔黄腻，脉滑数
淋证,石淋,清热利湿，排石通淋,石韦散,,尿中夹砂石，排尿涩痛，或排尿时突然中断，尿道窘迫疼痛，少腹拘急，往往突发，一侧腰腹绞痛难忍，甚则牵及外阴，尿中带血，舌红，苔薄黄，脉弦或代数
淋证,血淋,清热通淋，凉血止血,小蓟饮子,,小便热涩刺痛，尿色深红，或夹有血块，疼痛满急加剧，或见心烦，舌尖红，苔黄，脉滑数
淋证,气淋,理气疏导，通淋利尿,沉香散,,郁怒之后，小便涩滞，淋沥不宣，少腹胀满疼痛，苔薄白，脉弦
淋证,膏淋,清热利湿，分清泄浊,程氏萆薢分清饮,,小便混浊，乳白或如米泔水，上有浮油，置之沉淀，或伴有絮状凝块物，或混有血液、血块，尿道热涩疼痛，尿时阻塞不畅，口干，苔黄腻，舌质红，脉濡数
淋证,劳淋,补脾益肾,无比山药丸,,小便不甚赤涩，溺痛不甚，但淋沥不已，时作时止，遇劳即发，腰膝酸软，神疲乏力，病程缠绵，舌质淡，脉细弱
阳痿,命门火衰,温肾壮阳,赞育丸,,阳事不举，或举而不坚，精薄清冷，神疲倦怠，畏寒肢冷，面色白，头晕耳鸣，腰膝酸软，夜尿清长，舌淡胖，苔薄白，脉沉细
阳痿,心脾亏虚,补益心脾,归脾汤,,阳痿不举，心悸，失眠多梦，神疲乏力，面色萎黄，食少纳呆，腹胀便溏，舌淡，苔薄白，脉细弱
阳痿,肝郁不舒,疏肝解郁,逍遥散,,阳事不起，或起而不坚，心情抑郁，胸胁胀痛，脘闷不适，食少便溏，苔薄白，脉弦。
阳痿,惊恐伤肾,益肾宁神,启阳娱心丹,,阳痿不振，心悸易惊，胆怯多疑，夜多噩梦，常有被惊吓史，苔薄白，脉弦细。
阳痿,湿热下注,清利湿热,龙胆泻肝汤,,阴茎痿软，阴囊潮湿，瘙痒腥臭，睾丸坠胀作痛，小便赤涩灼痛，胁胀腹闷，肢体困倦，泛恶口苦，舌红苔黄腻，脉滑数。
郁证,肝气郁结,疏肝解郁，理气畅中,柴胡疏肝散,,精神抑郁，情绪不宁，胸部满闷，胁肋胀痛，痛无定处，脘闷嗳气，不思饮食，大便不调，苔薄腻，脉弦
郁证,气郁化火,疏肝解郁，清肝泻火,丹栀逍遥散,,情绪不宁，急躁易怒，胸胁胀满，口苦而干，或头痛，目赤，耳鸣，或嘈杂吞酸，大便秘结，舌质红，苔黄，脉弦数
郁证,痰气郁结,行气开郁，化痰散结,半厦厚朴汤,,精神抑郁，胸部闷塞，胁肋胀满，咽中如有物梗塞，吞之不下，咯之不出，苔白腻，脉弦滑
郁证,心神失养,甘润缓急，养心安神,甘麦大枣汤,,精神恍惚，心神不宁，多疑易惊，悲忧善哭，喜怒无常，或时时欠伸，或手舞足蹈，骂詈喊叫等，舌质淡，脉弦。此种证候多见于女性，常因精神刺激而诱发。临床表现多种多样，但同一患者每次发作多为同样几种症状的重复
郁证,心脾两虚,健脾养心，补益气血,归脾汤,,情绪不宁，多思善疑，头晕神疲，心悸胆怯，失眠健忘，纳差，面色不华，舌质淡，苔薄白，脉细
郁证,心肾阴虚,滋养心肾,天王补心丹合六味地黄丸,,情绪不宁，心悸健忘，失眠多梦，五心烦热，盗汗，口咽干燥，舌红少津，脉细数
血证,热邪犯肺,清泄肺热，凉血止血,桑菊饮,鼻衄,鼻燥衄血，口干咽燥，或兼有身热，恶风，头痛，咳嗽，痰少症，舌质红，苔薄，脉数
血证,胃热炽盛,清胃泻火，凉血止血,玉女煎,鼻衄,鼻衄，或兼齿衄，血色鲜红，口渴欲饮，鼻干，口干臭秽，烦躁，便秘，舌红，苔黄，脉数
血证,肝火上炎,清肝泻火，凉血止血,龙胆泻肝汤,鼻衄,鼻衄，头痛，目眩，耳鸣，烦躁易怒，两目红赤，口苦，舌红，脉弦数
血证,气血亏虚,补气摄血,归脾汤,鼻衄,鼻衄，或兼齿衄、肌衄，神疲乏力，面色白，头晕，耳鸣，心悸，夜寐不宁，舌质淡，脉细无力
血证,胃火炽盛,清胃泻火，凉血止血,加味清胃散合泻心汤,齿衄,齿衄，血色鲜红，齿龈红肿疼痛，头痛，口臭，舌红，苔黄，脉洪数
血证,阴虚火旺,滋阴降火，凉血止血,六味地黄丸合茜根散,齿衄,齿衄，血色淡红，起病较缓，常因受热及烦劳而诱发，齿摇不坚，舌质红，苔少，脉细数
血证,燥热伤肺,清热润肺，宁络止血,桑杏汤,咳血,喉痒咳嗽，痰中带血，口干鼻燥，或有身热，舌质红，少津，苔薄黄，脉数
血证,肝火犯肺,清肝泻火，凉血止血,泻白散合黛蛤散,咳血,咳嗽阵作，痰中带血或纯血鲜红，胸胁胀痛，烦躁易怒，口苦，舌质红，苔薄黄，脉弦数
血证,阴虚肺热,滋阴润肺，宁络止血,百合固金汤,咳血,咳嗽痰少，痰中带血，或反复咳血，血色鲜红，口干咽燥，颧红，潮热盗汗，舌质红，脉细数
血证,胃热壅盛,清胃泻火，化瘀止血,泻心汤合十灰散,吐血,脘腹胀闷，嘈杂不适，甚则作痛，吐血色红或紫暗，常夹有食物残渣，口臭，便秘，大便色黑，舌质红，苔黄腻，脉滑数
血证,肝火犯胃,泻肝清胃，凉血止血,龙胆泻肝汤,吐血,吐血色红或紫暗，口苦胁痛，心烦易怒，寐少梦多，舌质红绛，脉弦数
血证,气虚血溢,健脾，益气，摄血,归脾汤,吐血,吐血缠绵不止，时轻时重，血色暗淡，神疲乏力，心悸气短，面色苍白，舌质淡，脉细弱
血证,肠道湿热,清化湿热，凉血止血,地榆散合槐角丸,便血,便血色红黏稠，大便不畅或稀溏，或有腹痛，口苦，舌质红，苔黄腻，脉濡数
血证,气虚不摄,益气摄血,归脾汤,便血,便血色红或紫暗，食少，体倦，面色萎黄，心悸，少寐，舌质淡，脉细
血证,脾胃虚寒,健脾温中，养血止血,黄土汤,便血,便血紫暗，甚则黑色，腹部隐痛，喜热饮，面色不华，神倦懒言，便溏，舌质淡，脉细。
血证,下焦湿热,清热利湿，凉血止血,小蓟饮子,尿血,小便黄赤灼热，尿血鲜红，心烦口渴，面赤口疮，夜寐不安，舌质红，脉数
血证,肾虚火旺,滋阴降火，凉血止血,知柏地黄丸,尿血,小便短赤带血，头晕耳鸣，神疲，颧红潮热，腰膝酸软，舌质红，脉细数
血证,脾不统血,补中健脾，益气摄血,归脾汤,尿血,久病尿血，甚或兼见齿衄、肌衄，食少，体倦乏力，气短声低，面色不华，舌质淡，脉细弱
血证,肾气不固,补益肾气，固摄止血,无比山药丸,尿血,久病尿血，血色淡红，头晕耳鸣，精神困惫，腰脊酸痛，舌质淡，脉沉弱
紫斑,血热妄行,清热解毒，凉血止血,十灰散,,皮肤出现青紫斑点或斑块，或伴有鼻衄、齿衄、便血、尿血，或有发热，口渴，便秘，舌质红，苔黄，脉弦数
紫斑,阴虚火旺,滋阴降火，宁络止血,茜根散,,皮肤出现青紫斑点或斑块，时发时止，常伴鼻衄、齿衄或月经过多，颧红，心烦，口渴，手足心热，或有潮热，盗汗，舌质红，苔少，脉细数
紫斑,气不摄血,补气摄血,归脾汤,,反复发生肌衄，久病不愈，神疲乏力，头晕目眩，面色苍白或萎黄，食欲不振，舌质淡，脉细弱
消渴,肺热津伤,清热润肺，生津止渴,消渴方,上消,口渴多饮，口舌干燥，尿频量多，烦热多汗，舌边尖红，苔薄黄，脉洪数
消渴,胃热炽盛,清胃泻火，养阴增液,玉女煎,中消,多食易饥，口渴，尿多，形体消瘦，大便干燥，苔黄，脉滑实有力
消渴,气阴亏虚,益气健脾，生津止渴,七味白术散,中消,口渴引饮，能食与便溏并见，或饮食减少，精神不振，四肢乏力，体瘦，舌质淡红，苔白而干，脉弱
消渴,肾阴亏虚,滋阴固肾,六味地黄丸,下消,尿频量多，混浊如脂膏，或尿甜，腰膝酸软，乏力，头晕耳鸣，口干唇燥，皮肤干燥，瘙痒，舌红苔少，脉细数
消渴,阴阳两虚,滋阴温阳，补肾固涩,金匮肾气丸,下消,小便频数，混浊如膏，甚至饮一溲一，面容憔悴，耳轮干枯，腰膝酸软，四肢欠温，畏寒肢冷，阳痿或月经不调，舌苔淡白而干，脉沉细无力
内伤发热,阴虚发热,滋阴清热,清骨散,,午后潮热，或夜间发热，不欲近衣，手足心热，烦躁，少寐多梦，盗汗，口干咽燥，舌质红，或有裂纹，苔少甚至无苔，脉细数
内伤发热,血虚发热,益气养血,归脾汤,,发热，热势多为低热，头晕眼花，身倦乏力，心悸不宁，面白少华，唇甲色淡，舌质淡，脉细弱
内伤发热,气虚发热,益气健脾，甘温除热,补中益气汤,,发热，热势或低或高，常在劳累后发作或加剧，倦怠乏力，气短懒言，自汗，易于感冒，食少便溏，舌质淡，苔白薄，脉细弱
内伤发热,阳虚发热,温补阳气，引火归原,金匮肾气丸,,发热而欲近衣，形寒怯冷，四肢不温，少气懒言，头晕嗜卧，腰膝酸软，纳少便溏，面色白，舌质淡胖，或有齿痕，苔白润，脉沉细无力
内伤发热,气郁发热,疏肝理气，解郁泄热,丹栀逍遥散,,发热多为低热或潮热，热势常随情绪波动而起伏，精神抑郁，胁肋胀满，烦躁易怒，口干而苦，纳食减少，舌红，苔黄，脉弦数
内伤发热,痰湿郁热,燥湿化痰，清热和中,黄连温胆汤合中和汤,,低热，午后热甚，心内烦热，胸闷脘痞，不思饮食，渴不欲饮，呕恶，大便稀薄或黏滞不爽，舌苔白腻或黄腻，脉濡数
内伤发热,血瘀发热,活血化瘀,血府逐瘀汤,,午后或夜晚发热，或自觉身体某些部位发热，口燥咽干，但不多饮，肢体或躯干有固定痛处或肿块，面色萎黄或晦暗，舌质青紫或有瘀点、瘀斑，脉弦或涩
虚劳,肺气虚,补益肺气,补肺汤,气虚,咳嗽无力，痰液清稀，短气自汗，声音低怯，时寒时热，平素易于感冒，面白
虚劳,心气虚,益气养心,七福饮,气虚,心悸，气短，劳则尤甚，神疲体倦，自汗
虚劳,脾气虚,健脾益气,加味四君子汤,气虚,饮食减少，食后胃脘不舒，倦怠乏力，大便溏薄，面色萎黄
虚劳,肾气虚,益气补肾,大补元煎,气虚,神疲乏力，腰膝酸软，小便频数而清，白带清稀，舌质淡，脉弱
虚劳,心血虚,养血宁心,养心汤,血虚,心悸怔忡，健忘，失眠，多梦，面色不华
虚劳,肝血虚,补血养肝,四物汤,血虚,头晕，目眩，胁痛，肢体麻木，筋脉拘急，或筋惕肉瞤，妇女月经不调甚则闭经，面色不华。
虚劳,肺阴虚,养阴润肺,沙参麦冬汤,阴虚,干咳，咽燥，甚或失音，咯血，潮热，盗汗，面色潮红
虚劳,心阴虚,滋阴养心,天王补心丹,阴虚,心悸，失眠，烦躁，潮热，盗汗，或口舌生疮，面色潮红。
虚劳,脾胃阴虚,养阴和胃,益胃汤,阴虚,口干唇燥，不思饮食，大便燥结，甚则干呕，呃逆，面色潮红
虚劳,肝阴虚,滋养肝阴,补肝汤,阴虚,头痛，眩晕，耳鸣，目干畏光，视物不明，急躁易怒，或肢体麻木，筋惕肉瞤，面色潮红
虚劳,肾阴虚,滋补肾阴,左归丸,阴虚,腰酸，遗精，两足痿弱，眩晕，耳鸣，甚则耳聋，口干，咽痛，颧红，舌红，少津，脉沉细
虚劳,心阳虚,益气温阳,保元汤,阳虚,心悸，自汗，神倦嗜卧，心胸憋闷疼痛，形寒肢冷，面色苍白
虚劳,脾阳虚,温中健脾,附子理中汤,阳虚,面色萎黄，食少，形寒，神倦乏力，少气懒言，大便溏薄，肠鸣腹痛，每因受寒或饮食不慎而加剧
虚劳,肾阳虚,温补肾阳,右归丸,阳虚,腰背酸痛，遗精，阳痿，多尿或不禁，面色苍白，畏寒肢冷，下利清谷或五更泻泄，舌质淡胖，有齿痕
癌病,痰瘀阻窍,息风化痰，祛瘀通窍,通窍活血汤,脑瘤,头晕头痛，项强，目眩，视物不清，呕吐，失眠健忘，肢体麻木，面唇暗红或紫暗，舌质紫暗或瘀点或有瘀斑，脉涩
癌病,风毒上扰,平肝潜阳，清热解毒,天麻钩藤饮合黄连解毒汤,脑瘤,头痛头晕，耳鸣目眩，视物不清，呕吐，面红目赤，失眠健忘，肢体麻木，咽干，大便干燥，重则抽搐，震颤，或偏瘫，或角弓反张，或神昏谵语，项强，舌质红或红绛，苔黄，脉弦
癌病,阴虚风动,滋阴潜阳息风,大定风珠,脑瘤,头痛头晕，神疲乏力，虚烦不宁，肢体麻木，语言謇涩，颈项强直，手足蠕动或震颤，口眼歪斜，偏瘫，口干，小便短赤，大便干，舌质红，苔薄，脉弦细或细数。
癌病,瘀阻肺络,行气活血，散瘀消结,血府逐瘀汤,肺癌,咳嗽不畅，胸闷气憋，胸痛有定处，如锥如刺，或痰血暗红，口唇紫暗，舌质暗或有瘀点、瘀斑，苔薄，脉细弦或细涩
癌病,痰湿蕴肺,健脾燥湿，行气祛痰,二陈汤合栝楼薤白半夏汤,肺癌,咳嗽咳痰，憋气，痰质稠黏，痰白或黄白相兼，胸闷胸痛，纳呆便溏，神疲乏力，舌质淡，苔白腻，脉滑
癌病,阴虚热毒,养阴清热，解毒散结,沙参麦冬汤合五味消毒饮,肺癌,咳嗽无痰或少痰，或痰中带血，甚则咯血不止，胸痛，心烦寐差，低热盗汗，或热势壮盛，久稽不退，口渴，大便干结，舌质红，舌苔黄，脉细数或数大
癌病,气阴两虚,益气养阴,生脉散合百合固金汤,肺癌,咳嗽痰少，或痰稀，咳声低弱，气短喘促，神疲乏力，面色白，形瘦恶风，自汗或盗汗，口干少饮，舌质红或淡，脉细弱
癌病,肝气郁结,疏肝健脾，活血化瘀,柴胡疏肝散,肝癌,右胁部胀痛，右胁下肿块，胸闷不舒，善太息，纳呆食少，时有腹泻，月经不调，舌苔薄腻，脉弦
癌病,气滞血瘀,行气活血，化瘀消积,复元活血汤,肝癌,右胁疼痛较剧，如锥如刺，入夜更甚，甚至痛引肩背，右胁下结块较大，质硬拒按，或同时见左胁下肿块，面色萎黄而暗，倦怠乏力，脘腹胀满，甚至腹胀大，皮色苍黄，脉络暴露，食欲不振，大便溏结不调，月经不调，舌质紫暗，有瘀点瘀斑，脉弦涩
癌病,湿热聚毒,清热利胆，泻火解毒,茵陈蒿汤,肝癌,右胁疼痛，甚至痛引肩背，右胁部结块，身黄目黄，口干口苦，心烦易怒，食少厌油，腹胀满，便干溲赤，舌质红，苔黄腻，脉弦滑或滑数
癌病,肝阴亏虚,养血柔肝，凉血解毒,一贯煎,肝癌,胁肋疼痛，胁下结块，质硬拒按，五心烦热，潮热盗汗，头晕目眩，纳差食少，腹胀大，甚则呕血、便血、皮下出血，舌红少苔，脉细而数
癌病,湿热郁毒,清热利湿，化瘀解毒,槐角丸,大肠癌,腹部阵痛，便中带血或黏液脓血便，里急后重，或大便干稀不调，肛门灼热，或有发热，恶心，胸闷，口干，小便黄，舌质红，苔黄腻，脉滑数
癌病,瘀毒内阻,活血化瘀，清热解毒,膈下逐瘀汤,大肠癌,腹部拒按，或腹内结块，里急后重，大便脓血，色紫暗，量多，烦热口渴，面色晦暗，或有肌肤甲错，舌质紫暗或有瘀点、瘀斑，脉涩
癌病,脾肾双亏,温阳益精,大补元煎,大肠癌,腹痛喜温喜按，或腹内结块，下利清谷或五更泄泻，或见大便带血，面色苍白，少气无力，畏寒肢冷，腰酸膝冷，苔薄白，舌质淡胖，有齿痕，脉沉细弱
癌病,肝肾阴虚,滋肾养肝,知柏地黄丸,大肠癌,腹痛隐隐，或腹内结块，便秘，大便带血，腰膝酸软，头晕耳鸣，视物昏花，五心烦热，口咽干燥，盗汗，遗精，月经不调，形瘦纳差，舌红少苔，脉弦细数
癌病,湿热蕴毒,清热利湿，解毒通淋,八正散或龙胆泻肝汤,肾膀胱癌,腰痛，腰腹坠胀不适，尿血，尿急，尿频，尿痛，发热，消瘦，纳差，舌红苔黄腻，脉濡数
癌病,瘀血内阻,活血化瘀，理气散结,桃红四物汤,肾膀胱癌,面色晦暗，腰腹疼痛，甚则腰腹部肿块，尿血，发热，舌质紫暗或有瘀点、瘀斑，苔薄白，脉涩
癌病,脾肾两虚,健脾益肾，软坚散结,大补元煎,肾膀胱癌,腰痛，腹胀，尿血，腰腹部肿块，纳差，呕恶，消瘦，气短乏力，便溏，畏寒肢冷，舌质淡，苔薄白，脉沉细
癌病,阴虚内热,滋阴清热，化瘀止痛,知柏地黄丸,肾膀胱癌,腰痛，腰腹部肿块，五心烦热，口干，小便短赤，大便秘结，消瘦乏力，舌质红，苔薄黄少津，脉细数
痹证,行痹,祛风通络，散寒除湿,防风汤,风寒湿痹,肢体关节、肌肉疼痛酸楚，屈伸不利，疼痛呈游走性，初起可见有恶风、发热等表证，舌苔薄白，脉浮或浮缓
痹证,痛痹,散寒通络，祛风除湿,乌头汤,风寒湿痹,肢体关节疼痛，痛势较剧，部位固定，遇寒则痛甚，得热则痛缓，关节屈伸不利，局部皮肤或有寒冷感，舌质淡，舌苔薄白，脉弦紧
痹证,着痹,除湿通络，祛风散寒,薏苡仁汤,风寒湿痹,肢体关节、肌肉酸楚、重着、疼痛，肿胀散漫，关节活动不利，肌肤麻木不仁，舌质淡，舌苔白腻，脉濡缓
痹证,风湿热痹,清热通络，祛风除湿,白虎加桂枝汤或宣痹汤,,游走性关节疼痛，可涉及一个或多个关节，活动不便，局部灼热红肿，痛不可触，得冷则舒，可有皮下结节或红斑，常伴有发热、恶风、汗出、口渴、烦躁不安等全身症状，舌质红，舌苔黄或黄腻，脉滑数或浮数
痹证,痰瘀闭阻,化痰行瘀，蠲痹通络,双合汤,,痹证日久，肌肉关节刺痛，固定不移，或关节肌肤紫暗、肿胀，按之较硬，肢体顽麻或重着，或关节僵硬变形，屈伸不利，有硬结、瘀斑，面色暗黧，眼睑浮肿，或胸闷痰多，舌质紫暗或有瘀斑，舌苔白腻，脉弦涩
痹证,肝肾亏虚,培补肝肾，舒筋止痛,独活寄生汤,,痹证日久不愈，关节屈伸不利，肌肉瘦削，腰膝酸软，或畏寒肢冷，阳痿，遗精，或骨蒸劳热，心烦口干，舌质淡红，舌苔薄白或少津，脉沉细弱或细数
痉证,邪壅经络,祛风散寒，燥湿和营,羌活胜湿汤,,头痛，项背强直，恶寒发热，无汗或汗出，肢体酸重，甚至口噤不能语，四肢抽搐，舌苔薄白或白腻，脉浮紧
痉证,肝经热盛,清肝潜阳，息风镇痉,羚角钩藤汤,,高热头痛，口噤不开，手足躁动，甚则项背强急，四肢抽搐，角弓反张，舌质红绛，舌苔薄黄或少苔，脉弦细而数
痉证,阳明热盛,清泄胃热，增液止痉,白虎汤合增液承气汤,,壮热汗出，项背强急，手足挛急，口噤不开，甚则角弓反张，腹满便结，口渴喜冷饮，舌质红，苔黄燥，脉弦数
痉证,心营热盛,清心透营，开窍止痉,清营汤,,高热烦躁，神昏谵语，项背强急，四肢抽搐，甚则角弓反张，舌质红绛，苔黄少津，脉细数
痉证,痰浊阻滞,豁痰开窍，息风止痉,导痰汤,,头痛昏蒙，神志呆滞，项背强急，四肢抽搐，胸脘满闷，呕吐痰涎，舌苔白腻，脉滑或弦滑
痉证,阴血亏虚,滋阴养血，息风止痉,四物汤合大定风珠,,项背强急，四肢麻木，抽搦或筋惕肉瞤，直视口噤，头目昏眩，自汗，神疲气短，或低热，舌质淡或舌红无苔，脉细数
痿证,肺热津伤,清热润燥，养阴生津,清燥救肺汤,,发病急，病起发热，或热后突然出现肢体软弱无力，可较快发生肌肉瘦削，皮肤干燥，心烦口渴，咳呛少痰，咽干不利，小便黄赤或热痛，大便干燥，舌质红，苔黄，脉细数
痿证,湿热浸淫,清热利湿，通利经脉,加味二妙散,,起病较缓，逐渐出现肢体困重，痿软无力，尤以下肢或两足痿弱为甚，兼见微肿，手足麻木，扪及微热，喜凉恶热，或有发热，胸脘痞闷，小便赤涩热痛，舌质红，舌苔黄腻，脉濡数或滑数
痿证,脾胃虚弱,补中益气，健脾升清,参苓白术散合补中益气汤,,起病缓慢，肢体软弱无力逐渐加重，神疲肢倦，肌肉萎缩，少气懒言，纳呆便溏，面色白或萎黄无华，面浮，舌淡苔薄白，脉细弱
痿证,肝肾亏损,补益肝肾，滋阴清热,虎潜丸,,起病缓慢，渐见肢体痿软无力，尤以下肢明显，腰膝酸软，不能久立，甚至步履全废，腿胫大肉渐脱，或伴有眩晕耳鸣，舌咽干燥，遗精或遗尿，或妇女月经不调，舌红少苔，脉细数
痿证,脉络瘀阻,益气养营，活血行瘀,圣愈汤合补阳还五汤,,久病体虚，四肢痿弱，肌肉瘦削，手足麻木不仁，四肢青筋显露，可伴有肌肉活动时隐痛不适，舌痿不能伸缩，舌质暗淡或有瘀点、瘀斑，脉细涩
腰痛,寒湿腰痛,散寒行湿，温经通络,甘姜苓术汤,,腰部冷痛重着，转侧不利，逐渐加重，静卧病痛不减，寒冷和阴雨天则加重，舌质淡，苔白腻，脉沉而迟缓
腰痛,湿热腰痛,清热利湿，舒筋止痛,四妙丸,,腰部疼痛，重着而热，暑湿阴雨天气症状加重，活动后或可减轻，身体困重，小便短赤，苔黄腻，脉濡数或弦数
腰痛,瘀血腰痛,活血化瘀，通络止痛,身痛逐瘀汤,,腰痛如刺，痛有定处，痛处拒按，日轻夜重，轻者俯仰不便，重则不能转侧，舌质暗紫，或有瘀斑，脉涩。部分病人有跌仆闪挫病史
腰痛,肾阴虚,滋补肾阴，濡养筋脉,左归丸,肾虚腰痛,腰部隐隐作痛，酸软无力，缠绵不愈，心烦少寐，口燥咽干，面色潮红，手足心热，舌红少苔，脉弦细数
腰痛,肾阳虚,补肾壮阳，温煦经脉,右归丸,肾虚腰痛,腰部冷痛，缠绵不愈，局部发凉，喜温喜按，遇劳更甚，卧则减轻，常反复发作，少腹拘急，面色白，肢冷畏寒，舌质淡，脉沉细无力
乳癖,肝郁痰凝,疏肝解郁，化痰散结,逍遥蒌贝散,,多见于青壮年妇女。乳房肿块随喜怒消长，伴有胸闷胁胀，善郁易怒，失眠多梦，心烦口苦。苔薄黄，脉弦滑
